threshold,qlearning,hybrid
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
18.25,17.75,16.375
