threshold,qlearning,hybrid
799.5358217890306,799.5358217890306,789.4435730544881
798.9608890481866,798.9608890481866,788.886777955706
798.4206365602956,798.4206365602956,788.3626928199914
797.9152105002246,797.9152105002247,787.8714573554861
797.4447422931828,797.4447422931827,787.41319731135
797.0093485692279,797.0093485692278,786.9880244345388
796.6091311237702,796.6091311237703,786.5960364322607
796.2441768840932,796.2441768840932,786.2373169401308
795.9145578818966,795.9145578818966,785.911935496033
795.6203312318811,795.620331231881,785.6199475197013
795.3615391163739,795.3615391163739,785.3613942980242
795.1382087760102,795.1382087760102,785.1363029760811
794.9503525064606,794.9503525064605,784.9446865539124
794.7979676612181,794.7979676612182,784.7865438890227
794.6810366604365,794.6810366604366,784.6618597046157
794.5995270058127,794.5995270058128,784.570604603559
794.5533913015142,794.5533913015145,784.5127350880691
794.5425672811365,794.5425672811365,784.4881935851083
794.5669778406785,794.5669778406786,784.496908477487
794.6265310775304,794.6265310775306,784.5387941406523
794.721120335444,794.721120335444,784.6137509851497
794.8506242554779,794.8506242554779,784.721665504742
795.0149068328939,795.0149068328939,784.8624103301629
795.2138174799741,795.213817479974,785.0358442884815
795.4471910947441,795.4471910947442,785.24181246806
795.7148481355658,795.7148481355658,785.4801462890679
796.016594701569,796.016594701569,785.7506635795322
796.3522226188946,796.3522226188948,786.053168656888
796.7215095327101,796.7215095327101,786.3874524149966
797.1242190049566,797.1242190049566,786.7532924165952
797.5601006177959,797.560100617796,787.1504529911425
798.0288900827093,798.0288900827092,787.5786853380176
798.5303093551989,798.5303093551987,788.0377276350304
799.0640667550599,799.0640667550597,788.5273051522008
799.6298570921582,799.6298570921582,789.0471303707589
800.2273617976726,800.2273617976726,789.596903107318
800.8562490607441,800.8562490607441,790.1763106431695
801.5161739704758,801.5161739704758,790.7850278586486
802.206778663232,802.2067786632317,791.4227173725137
802.9276924751651,802.9276924751653,792.0890296862846
803.678532099924,803.678532099924,792.7836033334802
804.4589017514623,804.4589017514622,793.5060650336953
805.2683933318956,805.2683933318956,794.256029851454
806.1065866043303,806.1065866043303,795.0331013597743
806.9730493705989,806.973049370599,795.8368718083791
807.8673376538254,807.8673376538254,796.6669222964833
808.7889958857505,808.7889958857505,797.5228229500894
809.7375570987398,809.7375570987398,798.404133103718
810.712543122396,810.712543122396,799.3104014864987
811.7134647846968,811.7134647846968,800.2411664125488
812.7398221175747,812.7398221175748,801.1959559755605
813.7911045668618,813.7911045668618,802.1742882475188
814.8667912065024,814.8667912065024,803.1756714814677
815.9663509569649,815.9663509569647,804.1996043182456
817.0892428077417,817.0892428077418,805.2455759971035
818.2349160438738,818.2349160438738,806.3130665701244
819.4028104763797,819.4028104763797,807.40154712035
820.5923566765211,820.5923566765211,808.5104799835362
821.8029762137941,821.802976213794,809.6393189734389
823.0340818975557,823.0340818975559,810.787509610544
824.2850780221909,824.2850780221909,811.954489354149
825.5553606157106,825.5553606157106,813.1396878376977
826.844317691694,826.8443176916942,814.3425271072788
828.1513295044649,828.1513295044648,815.5624218631895
829.4757688073962,829.4757688073962,816.7987797044651
830.8170011142499,830.8170011142498,818.0510013762768
832.1743849634316,832.1743849634317,819.3184810200987
833.5472721850701,833.5472721850701,820.6006064265416
834.9350081707959,834.9350081707958,821.896759290753
836.3369321461245,836.3369321461245,823.2063154702757
837.7523774453285,837.7523774453284,824.5286452452686
839.1806717886834,839.1806717886833,825.8631135809758
840.6211375619849,840.621137561985,827.2090803923453
842.073092098217,842.073092098217,828.5659008106851
843.5358479612572,843.5358479612572,829.9329254522519
845.0087132315123,845.0087132315122,831.3095006886646
846.4909917933577,846.4909917933575,832.6949689190284
847.9819836242754,847.9819836242752,834.0886688436669
849.4809850855654,849.4809850855655,835.4899357393462
850.9872892145185,850.9872892145185,836.8981017358789
852.50018601793,852.50018601793,838.3124960940056
854.0189627668359,854.0189627668359,839.7324454844271
855.5429042923544,855.5429042923545,841.1572742678874
857.071293282513,857.071293282513,842.5863047761885
858.6034105799363,858.6034105799363,844.0188575940238
860.1385354802841,860.1385354802841,845.4542518415171
861.67594603131,861.6759460313101,846.8918054573538
863.2149193324257,863.2149193324257,848.3308354823876
864.7547318346457,864.7547318346454,849.770658343611
866.2946596407957,866.2946596407957,851.210590138374
867.8339788058637,867.8339788058637,852.6499469187347
869.3719656373627,869.3719656373627,854.0880449758273
870.9078969956009,870.9078969956009,855.5242011241384
872.4410505937218,872.4410505937218,856.9577329855647
873.9707052974038,873.9707052974039,858.3879592731515
875.4961414240938,875.4961414240939,859.814200074386
877.016641041654,877.016641041654,861.235777133938
878.5314882663018,878.531488266302,862.6520141357296
880.0399695597276,880.0399695597278,864.0622369842251
881.5413740252583,881.5413740252585,865.4657740848194
883.0349937029622,883.0349937029621,866.8619566232218
884.5201238635624,884.5201238635624,868.2501188437126
885.9960633010518,885.996063301052,869.629598326167
887.4621146238821,887.4621146238821,870.9997362617328
888.917584544614,888.917584544614,872.3598777270472
890.3617841679126,890.3617841679127,873.709371956886
