threshold,qlearning,hybrid
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,15.625,14.375
18.25,16.25,15.505520721293545
18.25,15.5,13.875
18.25,15.0,15.125
18.25,15.0,18.044798436224237
18.25,15.0,25.248436022221117
18.25,15.0,14.95664004349079
18.25,15.0,25.238159916298166
18.25,15.0,14.0
18.25,15.0,17.025874663328402
18.25,15.0,16.85575092499315
18.25,15.0,22.291595660365683
18.25,15.0,16.84806545686724
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
18.25,15.0,14.0
