time,overloaded_nodes,predicted_overloads,migrations,cpu_utilization,ram_utilization,latency,jitter
598,0,0,0,0.18576474929174552,0.14788237464587278,9.568284674051572,0.034470836412330993
599,0,0,0,0.18584953820162797,0.14792476910081398,9.568652985687484,0.03088386378006251
600,0,0,0,0.18620423918455328,0.14810211959227665,9.573224692799501,0.02442621117347486
601,0,0,0,0.1853201995423364,0.1476600997711682,9.560118096493635,0.023695490975451795
602,0,0,0,0.18709637190543654,0.1485481859527183,9.58381401942396,0.022272039846089647
603,0,0,0,0.18936087227226528,0.14968043613613266,9.611864836419022,0.022464328334173403
604,0,0,0,0.18893616586800305,0.14946808293400152,9.604423222919852,0.021545903799543575
605,0,0,0,0.1869615707988735,0.14848078539943677,9.58075403050876,0.01810737057042442
606,0,0,0,0.18909264056238034,0.1495463202811902,9.610910317231482,0.017803485094250802
607,0,0,0,0.18937151400690513,0.14968575700345257,9.609391429929607,0.01908700110140605
608,0,0,0,0.188397859924134,0.149198929962067,9.59658601968292,0.01815633951539988
609,0,0,0,0.1887489471305953,0.14937447356529765,9.603719334408622,0.017052603256887428
610,0,0,0,0.19110556107135995,0.15055278053567997,9.634839256583737,0.019566588950255984
611,0,0,0,0.19160101708745864,0.15080050854372934,9.637580603272655,0.01762288277818015
612,0,0,0,0.19408172585717803,0.15204086292858904,9.677254106702055,0.025608666324621016
613,0,0,0,0.19355418691081305,0.15177709345540652,9.675589490024283,0.03097164730530129
614,0,0,0,0.19380229880130004,0.15190114940065005,9.6795201194718,0.034441493528109456
615,0,0,0,0.1959865369649011,0.15299326848245054,9.709413246049552,0.03732295388851305
616,0,0,0,0.19474968788136462,0.15237484394068232,9.687518694684615,0.037711678299334556
617,0,0,0,0.19484539631000264,0.1524226981550013,9.684498110484935,0.03609326961183274
618,0,0,0,0.19575103795876667,0.15287551897938334,9.7002944283582,0.03135861088246053
619,0,0,0,0.19456399601229085,0.15228199800614542,9.679482631207996,0.022593122280352037
620,0,0,0,0.19284672394752883,0.15142336197376444,9.658937360471644,0.019011769809726117
621,0,0,0,0.19133415494530664,0.15066707747265334,9.635320224514818,0.01950989360063491
622,0,0,0,0.1909358494368124,0.1504679247184062,9.636583601866509,0.02327958173515655
623,0,0,0,0.19195380008569937,0.1509769000428497,9.651640116328334,0.02427705790543193
624,0,0,0,0.19425379269383847,0.15212689634691925,9.688740976854849,0.02470433971529028
625,0,0,0,0.19083586738845176,0.1504179336942259,9.642707156129575,0.022983073551754368
626,0,0,0,0.19154415482320702,0.1507720774116035,9.65060122716545,0.022276114331178924
627,0,0,0,0.19032711908018418,0.15016355954009208,9.629219365051846,0.02307041149151252
628,0,0,0,0.19209943156458503,0.15104971578229254,9.65256260146364,0.018092982018456476
629,0,0,0,0.19220313512884588,0.15110156756442295,9.65572512809426,0.01582161760217993
630,0,0,0,0.19034265252385055,0.15017132626192528,9.626558739536197,0.016974129033459125
631,0,0,0,0.19399937506481824,0.15199968753240914,9.678643508192058,0.01887158655159995
632,0,0,0,0.19305177224877262,0.15152588612438633,9.66056255869682,0.018366207226874362
633,0,0,0,0.19386440855734227,0.15193220427867116,9.669872761925745,0.018966783301462304
634,0,0,0,0.19311936044255018,0.1515596802212751,9.656790406638253,0.01547012356498791
635,0,0,0,0.19205805419659772,0.15102902709829888,9.644599947896625,0.015362502897764783
636,0,0,0,0.19265314631151398,0.15132657315575698,9.653214187630452,0.015349969778181717
637,0,0,0,0.19292305823035186,0.15146152911517594,9.663031911269044,0.013387414089568304
638,0,0,0,0.19183545663302787,0.15091772831651395,9.648824425432995,0.013533927537889007
639,0,0,0,0.19066947613356178,0.1503347380667809,9.629168380506812,0.015714472182082835
640,0,0,0,0.19075537793078573,0.15037768896539289,9.635259215383893,0.014405788123849433
641,0,0,0,0.18951636947502942,0.14975818473751473,9.612720971824155,0.016543620581424213
642,0,0,0,0.18851075848913001,0.149255379244565,9.60029209878722,0.021024038667392064
643,0,0,0,0.18790373366220747,0.14895186683110373,9.594521044560892,0.02288198180380712
644,0,0,0,0.1885382613616171,0.14926913068080855,9.609994165741929,0.02249216789876327
645,0,0,0,0.19009119847032468,0.15004559923516234,9.636695140875617,0.022070694561405067
646,0,0,0,0.18838546628582511,0.1491927331429126,9.608329039600346,0.021105183607047513
647,0,0,0,0.18907002389269645,0.14953501194634822,9.617152338715817,0.016602763178207924
648,0,0,0,0.19196659558641604,0.15098329779320804,9.663188861428084,0.01946933038611738
649,0,0,0,0.19202195725911841,0.1510109786295592,9.663188128875783,0.023251141340879754
650,0,0,0,0.19344662077244762,0.15172331038622383,9.688814129159873,0.03029699783038061
651,0,0,0,0.19474051753263028,0.15237025876631513,9.706190624566396,0.037292472376015365
