scenario,model,metric,value
standard,hybrid,max_jitter,0.6914286380817929
standard,hybrid,reactive_migrations,0
standard,hybrid,proactive_migrations,5
standard,threshold,avg_migrations,0.005
standard,threshold,total_migrations,5
standard,threshold,avg_latency,9.924567245383587
standard,threshold,avg_jitter,0.333287159052134
standard,threshold,avg_cpu,0.381830631086284
standard,threshold,avg_ram,0.2944947576081663
standard,threshold,avg_energy,629.0983786517703
standard,threshold,max_latency,13.68659773574414
standard,threshold,max_jitter,0.7440608755798187
standard,qlearning,avg_migrations,0.005
standard,qlearning,total_migrations,5
standard,qlearning,avg_latency,9.425736099825594
standard,qlearning,avg_jitter,0.31637667570734745
standard,qlearning,avg_cpu,0.381830631086284
standard,qlearning,avg_ram,0.2944947576081663
standard,qlearning,avg_energy,629.0983786517703
standard,qlearning,max_latency,13.68659773574414
standard,qlearning,max_jitter,0.7575691576049532
standard,hybrid,avg_migrations,0.005
standard,hybrid,total_migrations,5
standard,hybrid,avg_latency,9.735761213514753
standard,hybrid,avg_jitter,0.32833301684296773
standard,hybrid,avg_cpu,0.381830631086284
standard,hybrid,avg_ram,0.2944947576081663
standard,hybrid,avg_energy,629.0983786517703
standard,hybrid,max_latency,13.68659773574414
standard,hybrid,max_jitter,0.7759558966399525
standard,hybrid,reactive_migrations,0
standard,hybrid,proactive_migrations,5
