time,overloaded_nodes,predicted_overloads,migrations,cpu_utilization,ram_utilization,latency,jitter,energy_consumption,reactive_migrations,proactive_migrations
307,0,0,0,0.48574873892524073,0.37002411724766854,10.510245091115147,0.37354988050373994,691.4492433551444,0,0
308,0,0,0,0.5319131079226747,0.4023391755458723,10.821788846634956,0.33230301226842957,719.1478647536048,0,0
309,0,0,0,0.535637996209643,0.4049465973467502,10.831478693664923,0.33689155704562035,721.382797725786,0,0
310,0,0,0,0.4846102628066378,0.3692271839646465,10.45195746292073,0.339139177639551,690.7661576839827,0,0
311,0,0,0,0.5522444076536785,0.416571085357575,10.914536080512653,0.38319918039922135,731.3466445922072,0,0
312,0,0,0,0.5266598804149466,0.39866191629046266,10.714932192186135,0.39555827324831644,715.9959282489681,0,0
313,0,0,0,0.4504085299128274,0.3452859709389791,10.15533477980907,0.3755750886327689,670.2451179476964,0,0
314,0,0,0,0.578417084872109,0.43489195941047626,11.045795495022398,0.41101468061419255,747.0502509232654,0,0
315,0,0,0,0.5340482885271748,0.40383380196902235,10.712262431282728,0.333028788108365,720.4289731163049,0,0
316,0,0,0,0.5448105762789663,0.41136740339527644,10.770118548642685,0.24427231828234305,726.8863457673799,0,0
317,0,0,0,0.5554460841871297,0.4188122589309908,10.827106245676303,0.2390257172349949,733.2676505122779,0,0
318,0,0,0,0.5830132732026655,0.4381092912418658,11.004413702515475,0.2523634207403166,749.8079639215991,0,0
319,0,0,0,0.5427959726459921,0.40995718085219446,10.700628801022729,0.25081339809648906,725.6775835875952,0,0
320,1,1,0,0.6888343629931399,0.5121840540951978,11.719508815684456,0.3702652835865539,813.3006177958839,0,0
321,0,0,0,0.5822169773774397,0.4375518841642078,10.944853340148985,0.3708520210567012,749.3301864264638,0,0
322,0,0,0,0.6442125606225959,0.4809487924358172,11.367740206123699,0.3962462114461242,786.5275363735576,0,0
323,0,0,0,0.6004325541017115,0.45030278787119804,11.040078850628522,0.30217344872687896,760.259532461027,0,0
324,0,0,0,0.6335580060964479,0.4734906042675135,11.2589711103788,0.3111049545193221,780.1348036578688,0,0
325,0,0,0,0.626749788866809,0.4687248522067663,11.194923500954346,0.29434666048946695,776.0498733200853,0,0
326,0,0,0,0.44217890670207505,0.33952523469145257,9.869412150109387,0.4647445059828255,665.307344021245,0,0
327,0,0,0,0.5919965965609123,0.44439761759263857,10.918770267642335,0.4622842166949575,755.1979579365473,0,0
328,0,0,0,0.4997220420526919,0.37980542943688433,10.250040680130379,0.5143433286581397,699.8332252316152,0,0
329,0,0,0,0.5401384627130541,0.4080969238991378,10.52423784132107,0.5247069388005465,724.0830776278324,0,0
330,0,0,0,0.5293037855227022,0.4005126498658916,10.435423388400626,0.4642478497871061,717.5822713136213,0,0
331,0,0,0,0.5546216240701705,0.41823513684911934,10.604209895318903,0.46343129647114445,732.7729744421024,0,0
332,1,1,0,0.6259925353455169,0.4681947747418619,11.100934610862833,0.43361135021191927,775.5955212073102,0,0
333,1,1,0,0.6026110762607976,0.45182775338255826,10.925918389089505,0.4264701909528364,761.5666457564785,0,0
334,1,1,0,0.6394765654554584,0.4776335958188208,11.179691942256067,0.41678638445027333,783.6859392732749,0,0
335,0,0,0,0.5742128975573806,0.4319490282901664,10.709416381773881,0.38327829611813063,744.5277385344284,0,0
336,0,0,0,0.46807695509249614,0.35765386856474735,9.950042818610287,0.3672470409003516,680.8461730554977,0,0
337,0,0,0,0.5063995673804282,0.3844796971662998,10.217443063923978,0.37791906772631606,703.839740428257,0,0
338,0,0,0,0.526490169182984,0.39854311842808876,10.356532615002703,0.36960588385120824,715.8941015097904,0,0
339,0,0,0,0.5104457696192508,0.3873120387334755,10.240214261508081,0.38496009913306,706.2674617715504,0,0
340,0,0,0,0.49355416906247573,0.375487918343733,10.119040870093457,0.4072395938949659,696.1325014374854,0,0
341,0,0,0,0.47416563379792553,0.36191594365854785,9.981304237045741,0.4390998668241278,684.4993802787552,0,0
342,1,1,0,0.5838299670171909,0.43868097691203367,10.761008272984528,0.40107539803457587,750.2979802103144,0,0
343,0,0,0,0.45558736094474755,0.34891115266132333,9.852734051745296,0.4013631666473792,673.3524165668485,0,0
344,0,0,0,0.3905901429326356,0.30341310005284494,9.394654224586118,0.3833087217108036,634.3540857595814,0,0
345,0,0,0,0.4389130032906743,0.337239102303472,9.742285672799607,0.3528374128426871,663.3478019744045,0,0
346,0,0,0,0.3305238857593126,0.26136672003151884,8.978382883032406,0.48075988031817557,598.3143314555875,0,0
347,0,0,0,0.2549491570757196,0.2084644099530037,8.448560721902435,0.6505384400255892,552.9694942454316,0,0
348,0,0,0,0.2489805397425851,0.2042324940624083,8.414221584162174,0.7359844615240282,549.3883238455511,0,0
349,0,0,0,0.42088766114067355,0.32462136279847154,9.643425409911519,0.7046317671133028,652.5325966844041,0,0
